date,sentiment
29-9-2015,-165
30-9-2015,-147
1-10-2015,-96
2-10-2015,-107
3-10-2015,-6
4-10-2015,8
5-10-2015,12
6-10-2015,96
7-10-2015,-84
8-10-2015,30
9-10-2015,75
10-10-2015,41
11-10-2015,62
12-10-2015,-69
13-10-2015,26
14-10-2015,80
15-10-2015,-101
16-10-2015,191
17-10-2015,-55
18-10-2015,16
19-10-2015,33
20-10-2015,154
21-10-2015,179
22-10-2015,102
23-10-2015,-52
24-10-2015,-11
25-10-2015,6
26-10-2015,26
27-10-2015,-11
28-10-2015,5
29-10-2015,33
30-10-2015,7
31-10-2015,-75
1-11-2015,-47
2-11-2015,47
3-11-2015,28
4-11-2015,80
5-11-2015,96
6-11-2015,155
7-11-2015,-22
8-11-2015,45
9-11-2015,20
10-11-2015,74
11-11-2015,68
12-11-2015,59
13-11-2015,110
14-11-2015,-98
15-11-2015,-46
16-11-2015,-5
17-11-2015,83
18-11-2015,3
19-11-2015,78
20-11-2015,26
21-11-2015,-5
22-11-2015,-57
23-11-2015,-46
24-11-2015,-43
25-11-2015,-103
26-11-2015,-138
27-11-2015,-122
28-11-2015,45
29-11-2015,-73
30-11-2015,-128
1-12-2015,-98
2-12-2015,-148
3-12-2015,-186
4-12-2015,-84
5-12-2015,-45
6-12-2015,-50
7-12-2015,-32
8-12-2015,-213
9-12-2015,-84
10-12-2015,-94
11-12-2015,-132
12-12-2015,-72
13-12-2015,-93
14-12-2015,-110
15-12-2015,-419
16-12-2015,29
17-12-2015,18
18-12-2015,-152
19-12-2015,-101
20-12-2015,-62
21-12-2015,-220
22-12-2015,-206
23-12-2015,-45
24-12-2015,-105
25-12-2015,63
26-12-2015,-24
27-12-2015,-10
28-12-2015,15
29-12-2015,-11
30-12-2015,177
31-12-2015,-14
1-1-2016,17
2-1-2016,-51
3-1-2016,72
4-1-2016,-145
5-1-2016,-319
6-1-2016,-148
7-1-2016,-246
8-1-2016,-124
9-1-2016,-1
10-1-2016,23
11-1-2016,-42
12-1-2016,-24
13-1-2016,-78
14-1-2016,-75
15-1-2016,-32
16-1-2016,-67
17-1-2016,-89
18-1-2016,-78
19-1-2016,-10
20-1-2016,16
21-1-2016,-79
22-1-2016,-26
23-1-2016,-4
24-1-2016,4
25-1-2016,-47
26-1-2016,-7
27-1-2016,28
28-1-2016,40
29-1-2016,-97
30-1-2016,-72
31-1-2016,-12
1-2-2016,-65
2-2-2016,-97
3-2-2016,-42
4-2-2016,137
5-2-2016,57
6-2-2016,-54
7-2-2016,27
8-2-2016,-82
9-2-2016,-34
10-2-2016,41
11-2-2016,-36
12-2-2016,-83
13-2-2016,-69
14-2-2016,-25
15-2-2016,-14
16-2-2016,56
17-2-2016,114
18-2-2016,-43
19-2-2016,104
20-2-2016,-25
21-2-2016,-58
22-2-2016,-14
23-2-2016,-63
24-2-2016,203
25-2-2016,100
26-2-2016,162
27-2-2016,52
28-2-2016,59
29-2-2016,39
1-3-2016,38
2-3-2016,214
3-3-2016,47
4-3-2016,61
5-3-2016,-18
6-3-2016,-5
7-3-2016,146
8-3-2016,-3
9-3-2016,78
10-3-2016,64
11-3-2016,-27
12-3-2016,-8
13-3-2016,51
14-3-2016,-206
15-3-2016,24
16-3-2016,29
17-3-2016,-74
18-3-2016,43
19-3-2016,3
